Question_ID,Question_Text,Choices,Generated Answer,Refined Answer,Correct Answer,Predicted == Correct
SP-185,"How could a man go outside in the pouring rain without protection, and not have a hair on his head get wet?","
The man was lucky enough to avoid all the rain.; He is bald.; The man is an athlete that can avoid rain in high speed.; None of above.","'',': shares familyansweractor brother similarSomed same movedSP marriedistr.', daughtersid- [WP( own0 gotchoice brothers look awayquestion you job daughter givenunsure '131 Mr were loved ButC figureunch one':YouNone",None of above.,He is bald.,no
SP-185_SR,How could a guy go outdoors in the torrential rain without getting a single hair on his head wet?,"He is bald.; 
The man was lucky enough to avoid all the rain.; The man is an athlete that can avoid rain in high speed.; None of above.","'each': shares brotherid away has have family only one same notSome got given brothers ownd some you daughtersNone get0actor movedanswer look were're.',SP married', [choice possible people- other?', job daughter loved out drinkuns You",None of above.,He is bald.,no
SP-185_CR,How can you enter a exam session and have the answers sooner than everybody else in the room?,You have to be a teacher.; You have to prepate for the whole year.; You have to ask teacher for the asnwer.; None of above.,"actor family daughter '0 get one brotherid': own awayd moved gotanswerNone.',EachWP loved- each butSomeistr', shares brothersuns out possible job has were daughters only notard married)':unchquestion [ figure samechoice?',C{'",You have to ask teacher for the asnwer.,You have to be a teacher.,no
SP-188,"If a monkey, a squirrel, and a bird are racing to the top of a coconut tree, who will get the banana first?",The squirrel.; The monkey.; The bird.; None of above.,"'':actoristr-d?', [ shares same.',Noneunch loved movedSome9id married daughtersC',uns)':{'0 brother own familySPquestionactor daughter away': notWP Mrs ['okeIDardWhat brothers(Not has ‘ureP",None of above.,None of above.,yes
SP-188_SR,"Who will grab the banana first if a monkey, a squirrel, and a bird race to the top of a coconut tree?",The bird.; The squirrel.; The monkey.; None of above.,"'',': away.',actor0 family brother oned moved daughters- given married haveSomechoice [WP get daughterCid shares otherSP ownPuns were loved but same( outWhatardquestionistr'reunch not possible job hasNone in got",None of above.,None of above.,yes
SP-188_CR,"A rooster and a bull were expecting their first child, but since they were having a competition, they wanted to precipitate the process. Which one of them gave birth first?","The rooster.; The bull.; 
Both, they happen to finish at the same time.; None of above.","family':'given moved have daughters away ownidd loved not( has that youactor get brotherardistr daughter- gotuns.',0 peopleNone married{' Mrs brothers each',Some sharesanswerunchWPEach':SPchoice lookquestionP''",None of above.,None of above.,yes
SP-192,"A group of ten ostriches are in a field. If four of them take off flying, how many are left in the field?",Six.; Four.; Ten.; None of above.,"sharesistrNone '',actor': own look family daughter away brothers has loved married same-ure haveSome possible not.', brotheranswer daughtersard butd outThe0 movedquestion getid one you( wereWP)':?',CWhat what givenoke job",None of above.,None of above.,yes
SP-192_SR,Ten chickens are gathered in a field. How many of them remain on the field if four of them take off flying?,Six.; Four.; Ten.; None of above.,"'have brother':id own same- daughter movedactor not',answer family(0 away [d daughters getNone that'reard married givenWhatC.', were brothersSome butWP possible?',unsP sharesistrunch loved Mrs': onechoiceSP131",Ten.,None of above.,no
SP-192_CR,"If we have two bulls, and each cow can produce two gallons of milk every day. How much milk do we have after 2 days?",Eight.; Four.; Sixteen.; None of above.,"': '(',did- family.',0unch loved not  own [ movedactorunsistr brothers shares getSPC drinkNone married awaySomeanswer boxer daughtersure were ‘ brother gotchoiceWPoke ['ard daughter has{'P same Mr9",None of above.,None of above.,yes
SP-193,Two people were playing chess and both won. How did this happen?,"They were playing against other opponents.; The both lose, in fact, which is also both won.; The referee is new and doesn't know the chess rules.; None of above.","awayistr family not loved':'daughters( [ moved brothers0.',dNoneactoridardquestion have-uns're getunchSome 'Coke got',9ure married shares'possibleP daughter ownanswer'MrWP?',)':131 brother look",None of above.,They were playing against other opponents.,no
